company,name,address,city,latitude,longitude,phone,connector_types,amenities,quantity,tariffs,is_24_7,station_id,source_url,scraped_at
AYNA (Gov),Lankaran Springs Wellness Resort,"Sultan Əliyev 1, Haftoni, Lənkəran, Azərbaycan, AZ4216",Lənkəran,38.7669348,48.760272,,Wall (Euro),,0,0,Yes,6303eca6f230e4f6bd2e332c,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439166
AYNA (Gov),AzPetrol Alyat,"Baku-Alyat-Astara-Iran, Azerbaijan",Baku-Alyat-Astara-Iran,39.6740676,49.01067,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,1,0,Yes,6303ee93fa6010ec96bcca82,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439211
AYNA (Gov),AzPetrol Salyan,"Salyan şosesi, Qaradağ, Bakı, Azərbaycan, AZ1081",Bakı,39.994744499999996,49.4309,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,1,0,Yes,6303f030fa6010ec96bcca83,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439238
AYNA (Gov),AzPetrol Mayak,"Salyan şosesi, Qaradağ, Bakı, Azərbaycan, AZ1083",Bakı,40.28604189999999,49.73332799999999,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),Cafe; WC,0,0,Yes,6303f200fa6010ec96bcca84,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439257
AYNA (Gov),AzPetrol Mayak2,"Salyan şosesi, Qaradağ, Bakı, Azərbaycan, AZ1063",Bakı,40.29652909999999,49.755026,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,0,0,Yes,6303f349fa6010ec96bcca85,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439275
AYNA (Gov),AzPetrol Kurdamir,Azərbaycan,Azərbaycan,40.32207869999999,48.189805,,CSS Combo 1; CSS Combo 2; CHAdeMO; Type 2 (Mennekes),,0,0,Yes,6303f43bfa6010ec96bcca86,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439284
AYNA (Gov),AzPetrol Ag seher,"8 Noyabr, Xətai, Bakı, Azərbaycan, AZ1025",Bakı,40.3789582,49.883739,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),Cafe,0,0,Yes,6303f5f6fa6010ec96bcca87,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439300
AYNA (Gov),Love Park,"Yeryomenko, Xətai, Bakı, Azərbaycan, AZ1025",Bakı,40.38689719999999,49.866214,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,0,0,Yes,6303f6c9fa6010ec96bcca88,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439317
AYNA (Gov),Ahmadli,"Sarayevo 109, Xətai, Bakı, Azərbaycan, AZ1142",Bakı,40.386883799999964,49.96139,,Type 1 (J1772); Wall; Wall (BS1363); Wall (Euro),,0,0,Yes,6303f771fa6010ec96bcca89,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439333
AYNA (Gov),AzPetrol Qabala,"Həsən bəy Zərdabi 74, Yasamal, Bakı, Azərbaycan, AZ1122",Bakı,40.38846130000002,49.80786,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,0,0,Yes,6303f82afa6010ec96bcca8a,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439350
AYNA (Gov),AzPetrol Spartak,"Tbilisi 6, Nəsimi, Bakı, Azərbaycan, AZ1065",Bakı,40.3889872,49.82630799999999,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,1,0,Yes,6303f95afa6010ec96bcca8b,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439382
AYNA (Gov),Heydar Aliyev Center,"Gülarə Qədirbəyova 2, Nəsimi, Bakı, Azərbaycan, AZ1008",Bakı,40.39272310000001,49.864926,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,0,0,Yes,6303f9e6fa6010ec96bcca8c,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439423
AYNA (Gov),AzPetrol Babak,"Babək 238, Xətai, Bakı, Azərbaycan, AZ1074",Bakı,40.39119210000001,49.908193,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,1,0,Yes,6303faa4fa6010ec96bcca8d,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439438
AYNA (Gov),Audi Center,"Babək 257, Nizami, Bakı, Azərbaycan, AZ1030",Bakı,40.39264400000002,49.911139,,CSS Combo 1; CHAdeMO,,0,0,Yes,6303fb9bfa6010ec96bcca8f,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439453
AYNA (Gov),AzPetrol Ganjlik,"Vaqif 125, Nərimanov, Bakı, Azərbaycan, AZ1110",Bakı,40.398954799999984,49.848493,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),Cafe; WC,1,0,Yes,6303fcd8fa6010ec96bcca90,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439471
AYNA (Gov),Ganjlik Mall,"Fətəli xan Xoyski 4, Nərimanov, Bakı, Azərbaycan, AZ1110",Bakı,40.399632999999994,49.850287,,Type 2 (Mennekes),,2,0,Yes,6303fd82fa6010ec96bcca91,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439491
AYNA (Gov),Samaxinka,"2-ci Alatava 94y, Yasamal, Bakı, Azərbaycan, AZ1011",Bakı,40.4079414,49.800153,,Wall (Euro),,0,0,Yes,6303fdf7fa6010ec96bcca92,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439509
AYNA (Gov),AzPetrol Carl Maks,"Ziya Bünyadov 155, Məmməd Əmin Rəsulzadə, Binəqədi, Bakı, Azərbaycan, AZ1106",Bakı,40.411067,49.83440800000001,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),Cafe,1,0,Yes,6303fe96fa6010ec96bcca93,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439529
AYNA (Gov),AzPetrol Heydar Aliyev2,"Heydər Əliyev 141, Nərimanov, Bakı, Azərbaycan, AZ1029",Bakı,40.41036819999999,49.893459,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,1,0,Yes,6303ff50fa6010ec96bcca94,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439547
AYNA (Gov),AzPetrol Mikayil Aliyev,"Mikayıl Əliyev, Nizami, Bakı, Azərbaycan, AZ1060",Bakı,40.4121677,49.924327,0,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,1,0,Yes,6303ffd6fa6010ec96bcca95,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439563
AYNA (Gov),Porsche Baku Center,"Mikayıl Əliyev 7, Nizami, Bakı, Azərbaycan, AZ1060",Bakı,40.40776220000001,49.927231,,Type 2 (Mennekes),,0,0,Yes,63040045fa6010ec96bcca96,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439579
AYNA (Gov),AzPetrol Heydar Aliyev,"Heydər Əliyev 170, Nizami, Bakı, Azərbaycan, AZ1029",Bakı,40.41817070000002,49.911988,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,1,0,Yes,630400c9fa6010ec96bcca97,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439595
AYNA (Gov),Bravo koroglu,"Heydər Əliyev 174, Nizami, Bakı, Azərbaycan, AZ1029",Bakı,40.41820050000001,49.914753999999995,,Type 2 (Mennekes),,0,0,Yes,63040175fa6010ec96bcca98,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439610
AYNA (Gov),AzPetrol Bina,"Mərdəkan, Binə, Xəzər, Bakı, Azərbaycan, AZ1045",Bakı,40.46802650000001,50.093684,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,1,0,Yes,63040208fa6010ec96bcca99,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439627
AYNA (Gov),AzPetrol Sumgayit,"Sumqayıt-Hacı Zeynalabdin, Sumqayıt, Sumqayıt, Azərbaycan, AZ5000",Sumqayıt,40.567685100000006,49.631941,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),Cafe,1,0,Yes,630402e9fa6010ec96bcca9a,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439645
AYNA (Gov),Ganja Mall,"Heydər Əliyev 433, Gəncə, Gəncə, Azərbaycan, AZ2000",Gəncə,40.67710530000002,46.359922,,Three Phase,,0,0,Yes,63040563fa6010ec96bcca9d,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439661
AYNA (Gov),Sea Breeze Mall,Azərbaycan,Azərbaycan,40.58977999999999,49.988739,,Type 2 (Mennekes),Cafe; WC,0,0,Yes,630403d9fa6010ec96bcca9b,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439678
AYNA (Gov),H2O express avto yuma (Ganja),"28 May 33, Gəncə, Gəncə, Azərbaycan, AZ2024",Gəncə,40.682602599999996,46.330856000000004,,Three Phase,,0,0,Yes,630405f8fa6010ec96bcca9e,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439694
AYNA (Gov),Park Market,"Bəxtiyar Vahabzadə Xan Yaylağı zirvəsi, Şəki, Şəki, Azərbaycan, AZ5505",Şəki,41.24397529999999,47.201173,,Wall,,0,0,Yes,63040698fa6010ec96bcca9f,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439714
AYNA (Gov),AzPetrol Shamakhi,Azərbaycan,Azərbaycan,40.61309379999997,48.665698,,CSS Combo 1; CHAdeMO; Type 2 (Mennekes),,0,0,Yes,630404c0fa6010ec96bcca9c,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439722
AYNA (Gov),Seki (Marxal),"Bəxtiyar Vahabzadə Xan Yaylağı zirvəsi, Şəki, Şəki, Azərbaycan, AZ5505",Şəki,41.243937402064404,47.20146059989928,,Wall (Euro),,0,0,Yes,63040725fa6010ec96bccaa0,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439739
AYNA (Gov),Shahdag,"Laza kənd yolu 29 km, Laza, Qusar, Azərbaycan, AZ3827",Qusar,41.320000100000016,48.136651,,Type 2 (Mennekes),,0,0,Yes,630407b3fa6010ec96bccaa1,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439755
AYNA (Gov),Petrol Pioneer (Qusar),"Çingiz Qurbanov 157, Qusar, Qusar, Azərbaycan, AZ3800",Qusar,41.4302582,48.440176,,Three Phase,,0,0,Yes,6304083dfa6010ec96bccaa2,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439771
AYNA (Gov),Hadrut Qovşaq YS,Azərbaycan,Azərbaycan,39.51246960708585,47.050603945343255,0,CHAdeMO,Cafe; WC,0,0,Yes,66cecb50a77f2d845324dd38,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439780
AYNA (Gov),Füzuli Rəqəmsal YS (Zəfər yolu),Füzuli,Füzuli,39.596912727286394,47.15329157917196,0,CSS Combo 1,Cafe; WC,0,0,Yes,66ceceb2e307912f0379d55c,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439791
AYNA (Gov),Cəbrayıl YS,Cəbrayıl Azərbaycan,Cəbrayıl Azərbaycan,39.39372372014881,47.03076768559836,0,CHAdeMO,Cafe; WC,0,0,Yes,66ced187a77f2d845324dd39,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439808
AYNA (Gov),Şuşa 8 YS,Şuşa (Zəfər küçəsi),Şuşa (Zəfər küçəsi),39.760947549480335,46.740522371935185,0,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,0,0,Yes,66ced49ce307912f0379d55e,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439824
AYNA (Gov),Xocalı YS,Xocalı Azərbaycan,Xocalı Azərbaycan,39.91466762744767,46.81063615834515,0,CSS Combo 1,Cafe; WC,0,0,Yes,66ced628a5ab6aafb9d7ff57,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439838
AYNA (Gov),Zəngilan YS,Zəngilan Azərbaycan,Zəngilan Azərbaycan,39.08357449257869,46.65770554358531,0,CHAdeMO,Cafe; WC,0,0,Yes,66ced82ea77f2d845324dd3b,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439850
AYNA (Gov),"""Zabux"" SES",Zabux Azərbaycan,Zabux Azərbaycan,39.59453566703746,46.53470720673971,0,CSS Combo 1,Cafe; WC,0,0,Yes,66cedc26a77f2d845324dd3c,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439862
AYNA (Gov),"Salyan ""Yolüstü"" restoranı",Ələt-Astara yolunun 71 km (Astara istiqamətində),Ələt-Astara,39.53216593006695,48.82090450297548,0,CHAdeMO,Cafe; WC,2,0,Yes,66d0138de307912f0379d564,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439877
AYNA (Gov),Sumqayıt Yaşma qəsəbəsi,Bakı - Quba ödənişli avtomobil yolunun girişi Bakı - Quba ödənişli avtomobil yolunun girişi,Bakı - Quba ödənişli avtomobil yolunun girişi Bakı - Quba ödənişli avtomobil yolunun girişi,40.68258527491969,49.503312714252786,-,Type 2 (Mennekes),Cafe; WC,1,-,Yes,66d015d9e307912f0379d566,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439895
AYNA (Gov),"Salyan ""Yolüstü"" restoranı",Ələt-Astara yolunun 71 km (Astara istiqamətində),Ələt-Astara,39.53291621004979,48.82018959334951,0,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,0,Yes,66d0177fa77f2d845324dd3f,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439912
AYNA (Gov),"Qəbələ ""Qəbələ"" 110/35/10 kV-luq YS",Qəbələ şəhəri,Qəbələ,40.84721689359955,47.732980828197185,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d01ab7a5ab6aafb9d7ff59,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439927
AYNA (Gov),Yevlax SCADA İdarəetmə Mərkəzi (35/10 kV-luq YS),Yevlax şəhəri,Yevlax,40.6319113910954,46.993727970197114,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d02020a77f2d845324dd41,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439940
AYNA (Gov),"""Dağlıq"" YS","Seyid Cəfər Pişəvəri, Nəsimi, Bakı, Azərbaycan, AZ1102",Bakı,40.40458797044974,49.81339374589362,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d0219fe307912f0379d568,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439961
AYNA (Gov),"Nizami ""Neftçilər"" metrosunun (Sputnik) yaxınlığı",Qara Qarayev 230 küçəsi,Qara,40.413278898664885,49.94066317566936,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d022eca77f2d845324dd42,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439979
AYNA (Gov),Xəzər Rasim İmanov 23,"""Manqal"" restoranın yaxınlığı","""Manqal"" restoranın yaxınlığı",40.528255907668694,50.09753939270644,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d023b6e307912f0379d569,https://edm.ayna.gov.az/,2025-12-18T20:12:21.439995
AYNA (Gov),"Xətai ""Ağ şəhər-2"" YS",Kənd Təsərrufatı Nazirliyinin yaxınlığı,Kənd Təsərrufatı Nazirliyinin yaxınlığı,40.38521411875831,49.879083163493334,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d024c2e307912f0379d56b,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440013
AYNA (Gov),"Xətai ""Ağ şəhər-1"" YS","8 Noyabr, Xətai, Bakı, Azərbaycan, AZ1025",Bakı,40.37813044914182,49.89751632898651,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d025c8a5ab6aafb9d7ff5d,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440032
AYNA (Gov),"Sabunçu ""Sea Breeze"" yaşayış kompleksinin parkinq ərazisi","""Sea Breeze"" yaşayış kompleksinin ərazisi","""Sea Breeze"" yaşayış kompleksinin ərazisi",40.59159713758291,49.98607275586215,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d02e15e307912f0379d56d,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440049
AYNA (Gov),"Sabunçu ""Sea Breeze"" 110/35 kV YS","""Sea Breeze"" Landau yaşayış kompleksinin ərazisi","""Sea Breeze"" Landau yaşayış kompleksinin ərazisi",40.56757931894953,49.94225694742434,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d03097a5ab6aafb9d7ff60,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440069
AYNA (Gov),Yasamal 120 saylı YS,"Şəfaət Mehdiyev, Yasamal, Bakı, Azərbaycan, AZ1065",Bakı,40.37831114068757,49.81726618639104,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d03334e307912f0379d56e,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440091
AYNA (Gov),"Səbail ""Liman"" YS","""Ağ şəhər bulvarı""-nın dairəsi","""Ağ şəhər bulvarı""-nın dairəsi",40.37551029537107,49.863749693211645,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d03506e307912f0379d56f,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440113
AYNA (Gov),Nizami küçəsi 111,"""Landmark"" BM-nin yaxınlığı","""Landmark"" BM-nin yaxınlığı",40.37632917584392,49.850916371229374,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d03659e307912f0379d570,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440130
AYNA (Gov),Nərimanov Atatürk Parkı,"Atatürk, Nərimanov, Bakı, Azərbaycan, AZ1110",Bakı,40.40123232536831,49.850690554734314,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d05167a77f2d845324dd46,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440150
AYNA (Gov),Nərimanov 215 saylı YS,"Aşıq Molla Cümə, Nərimanov, Bakı, Azərbaycan, AZ1052",Bakı,40.40444615960712,49.86274141185527,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d051fea77f2d845324dd47,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440172
AYNA (Gov),"Nərimanov ""McDonald's"" Gənclik",Vaqif pr. Atatürk pr. kəsişməsi,Vaqif pr. Atatürk pr. kəsişməsi,40.3992218845942,49.84961624949207,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,2,-,Yes,66d05440a5ab6aafb9d7ff62,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440188
AYNA (Gov),"Səbail ""Içərişəhər"" YS","Neftçilər, Səbail, Bakı, Azərbaycan, AZ1000",Bakı,40.35729621047173,49.833833626090154,-,Caravan Mains Socket; CSS Combo 1; CSS Combo 2; CHAdeMO; Commando; GB/T; GB/T 2; NEMA 14-50; NEMA TT-30; Tesla; Tesla (Fast); Tesla (Roadster); Three Phase; Type 1 (J1772); Type 2 (Mennekes); Type 3; Type 3A; Wall; Wall (AU/NZ); Wall (BS1363); Wall (Euro),Cafe; WC,-,-,Yes,66d054e0e307912f0379d575,https://edm.ayna.gov.az/,2025-12-18T20:12:21.440207
