name,address,city,latitude,longitude,gps_coordinates,image_url,source_url,scraped_at
1 SAYLI YDS,"Bakı ş-ri, Suraxanı r-nu, Yeni Suraxanı Qəsəbəsi, Bakı-Aeroport yolu, 7-ci km, 1",Bakı,40.440428,50.013696,"40.440428, 50.013696",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBooZI3iY-2pTup_1WmB5cH0XApCHadw5QxUYMxValcJ0S_ew5hDjwmU3ilb0FzY6W9r9EWk_-i5PZa5YTMwfFh7YmHD7V-9owalWkq_gcdU7isQ_zrcI5oq-dlPnh1RiVnDVgq2jAa-SFVK2699pAaoQIaJA9UwQgjC5r2Xir1vIRg4TNItvcRkEIZX80W5rMZrzaHxS2vFd6g?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
1i SAYLI YDS,"Abşeron rayonu, 3 SAYLI zeytun sovxozunun ərazisi.",Abşeron,40.430313,50.193196,"40.430313, 50.193196",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
CNG 1,Zığ Hövsan yolu,Zığ,40.354868,49.980084,"40.354868, 49.980084",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
2 SAYLI YDS,"Bakı-Aeroport yolunun sağ tərəfində, Sabunçu dairəsi yaxınlığında",Bakı,40.439143,49.938807,"40.439143, 49.938807",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
2i SAYLI YDS,"Bakı şəhəri, Xəzər rayonu, Buzovna qəsəbəsi, Maştağa yolu Albalılıq, Abşeron küçəsi 105",Bakı,40.5172788,50.0605557,"40.5172788, 50.0605557",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
3 SAYLI YDS,"Xəzər rayonu, Mərdəkan Ş.T.Q, Mərdəkan-Qala yol ayrıcının cənub-qərb hissəsi",Xəzər,40.471663,50.104087,"40.471663, 50.104087",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
3i SAYLI YDS,"Bakı şəhəri, Sabunçu rayonu, Bakı-Zabrat yolu sağ tərəf",Bakı,40.464439,49.94355,"40.464439, 49.943550",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
4 SAYLI YDS,Aeroport-Bakı yeni salınmış beton yolun sağ tərəfində,Bakı,40.4327,50.05867,"40.4327,50.05867",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
4i SAYLI YDS,"Goranboy rayonu, Cinli Boluslu kəndi",Goranboy,40.644941,46.8662,"40.644941, 46.866200",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoqphBBhrnGvISQrKFszk3d6A9-nVWpou1Kxbwtal3x00RXjl56AaZqBiEoVt0-h2EXNzk2lQ6Cd-4DAWLB9gxDwsmo2yAN_4QoacusQ2imocpkBYZV5wYNNpi0RQ_-doze_CT8amxaYPBQwA5A9gPB8jlOwC-hEX9Hs1sS5orAqsFNpTQiYWNeoyzFSuZ-SHn69nwcw7DDw5g?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
5 SAYLI YDS,"Zığ şosessi, Gənclik parkı yanında.",Zığ,40.355476,49.953145,"40.355476, 49.953145",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoqXWRdI3B3_W0yvFZvjEebAocFUpn23NCTVvOv4DjWETz8NKuhgYNhx5CT4DMqOVffo80JqM-te-QX6Ami6o2s8zNEpXpFmmjE9wJ1nJPkswoe47BjskOAoKQhb3kzMKVPegClBG87cLok0oOj3SmjkexrW3mJvxR2EJhYiV5ZKED2nsjrONCkZ9KSP-m7W6MpVr41EaAxGpA?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
5i SAYLI YDS,"Ucar rayonu, Müsüslü kəndi",Ucar,40.441842,47.903262,"40.441842, 47.903262",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBooFe_1CMyMeNKciBbaQ_Lt_zULDDtebpgEEWIXAUkxldio6RZESwfP13gZWWPFp2xKCjj6vQtHi7YhSC-MrXZGbB1OpBHZu8brE5VouBVaJKcKGCSC6chcvj5brk91KCQi9ItoONp_v_tVHE9_idMD3YFhdw4EteUfsu9d_cH0eyKfOGzhJV3P-DtQfJOlezzZLTx9C8mS9jA?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
6 SAYLI YDS,"Bakı şəhəri, Səbail rayonu , Yeni Salyan yolu, 25 km, Bina 31 (Bibiheybət məscidinden şəhər istiqamətində yeni çəkilmiş yolun sağ tərəfində)",Bakı,40.3188957,49.8215404,"40.31858,49.82177",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoq0g2p2IwT1FySqhuloVj2qeHvsVmhatc_4ggdEx2T0a5ghVV3clbTKb4CkImijGIT-QufrlBs7Tdfd7cH4YUB4eUc53AoUSXx2_4q1vi9ycnpEiWxIiiPbhqy6OMp3Zb-B8LpeSgsbCv2qP449hG2hntWcddkVYghBv2eN4ASzjdW1qrB43OJGcmrW39MaLj_VWt4MAN7qxg?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
6i SAYLI YDS,Pirallahi qəsəbəsi,Pirallahi,40.458214,50.33621,"40.458214, 50.336210",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoo0sbtvEyx_i5I-C5c9bOW0IzoRueTtQ240-rHpJmimPLwZ2fKwrlv17wwB-AQLku7l5yJagtD0ck4j0pXgwAX2Z6EEXChbScAlML_CoCpYzCKqr0CmwmEKJlTlY_acRE_zIozaVWbFFK2bxKduQs_zW2P4xyu5o12OOKjom4wx1WSHKipI95K1l1W-zPkodTjrQ91UD1ZJKg?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
6s SAYLI YDS,"Qusar rayonu, Qusar-Laza yolunun 29-cu km-də yerləşən Şahdağ Turizm Mərkəzinin ərazisi",Qusar,41.327563,48.148946,"41.327563, 48.148946",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBorirb-oQw0c4owHTZAElXUx4kiQmnSDFgWvm8POHbdO6Y8twYwnTQQ6T6paxoGVmDMQImm2G-E3s0D9GXEdj3yTcEPR4BrEOD98NJm3wQKYvwCORE4Omw-D6mgK2qGWujxBdtIjCX6fEg9LONczQ3GzDu8IfvFq11D5fUwepHXepiN3GzkmiXg_p1Y5QURP4uXdRSMEOMs9Og?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
7 SAYLI YDS,"Bakı Salyan şossesinin 70-ci km-i, Haciqabul-Astara yol ayrıcı, yolun sağ tərəfində",Salyan,39.967301,49.408622,"39.967301, 49.408622",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
7i SAYLI YDS,"Binəqədi rayonu, Goradil qəsəbəsi",Binəqədi,40.566106,49.856617,"40.566106, 49.856617",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoozRM-nOlGF1t_P7eVfg7uSuwEReXQ3ujYMkhuKGYOYrqEo5oXgPoJ2VUcJOUOT-wOcoXj1DTsONSYqwaUDSaHNFT-VgPZrnhlhsOslj4QJ6Y8abBntbyXs3_scmJmgnUGkRtKXsKz9TGZ3p92bbnTM2attG2VZ-HYx6qnScAT87X5-KhspoaRU9J9b1pvjWofV9jJL43xvTA?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
8 SAYLI YDS,"Bakı Salyan şossesinin 70-ci km-i, Haciqabul-Astara yol ayrıcı, yolun sol tərəfində",Salyan,39.970057,49.41544,"39.970057, 49.415440",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
8i SAYLI YDS,"Yevlax-Zaqatala yolu istiqaməti, Şəki şəhərinin sonuncu kəndi sayılan Çayqaraqoyunlu kəndi ərazisi",Yevlax-Zaqatala,40.844999,47.219173,"40.844999, 47.219173",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoruec0DYq8MPY0gOF6m240irHT8gdTEUV8GeijcEUzpqZ82jUk5HiFrbhJnXuQ4kRIl9X0X0r8eAga3CFwz-5D-o1ZbLgcDS6o8Q916yXzXmNzFc_3qA11YMjvDILDZ5EjZ51NzsrFCkMPGPdn9EErP0ZrOczjrW2MPGjwrUhCERl65GZlD9_a3bbd_x1hT9sb-bCH2H_tElA?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
8s SAYLI YDS,Ağdam şəhəri,Ağdam,40.013422,46.947148,"40.013422, 46.947148",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoqfimjCmPPCTG_d_Q7HCBREPi3Ms16csM_2j3m5XGBOSOoYXCazIodWAJUiXagLC8ip7z-m9ak3IsIoJkYSFe_1P_GFLwo9ApPzqWLcK3acc8oLWgHU-KFHZ3Oq9U1RaNNa1jNcAVXbrwZ4CRI74H6ZSixXMpmcgWIZhjvua3RRzHZmn1labPYYJv_NXbXQLUDEzn0wK1eX?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
9 SAYLI YDS,"Bakı Salyan şossesinin 14-cü km-i, Lökbatan qəsəbəsi yaxınlığında, yolun sağ tərəfində",Salyan,40.2967326,49.7524934,"40.2967326, 49.7524934",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
9i SAYLI YDS,"Bakı şəhəri, Biləcəri qəsəbəsi, Sumqayıt şosesi, 2-ci km. 4 ünvanında, Dövlət Yol Polis İdarəsinə məxsus ekologiya postu yaxınlığında",Bakı,40.433378,49.784576,"40.433378, 49.784576",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBorTXGl5np90628g5-x3P3lSH2I8j8yOxNsS6TkotUAl-mxI46SZsptdtyMkhbiHbrgOhyP6qt7RB3nrUsyAQwappcbZX_DXWsU55WGtFhICPPbGO8AP0ysZPy1FbO0WdGdZqwQpdacqhSDEWRhUBSafPAjAb2183XOFuy8uoV9kDjGrwlnUdJJp4oKjFzkMx_JLExnLqRL9_Q?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
9s SAYLI YDS,"Xocavənd rayonu,Hadrut qəsəbəsi",Xocavənd,39.524656,47.029594,"39.524656, 47.029594",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
10 SAYLI YDS,"Bakı Quba yolunun 28-ci km-də, yolun sağ tərəfində, Ceyranbatan qəsəbəsi yaxınlığında",Bakı,40.556514,49.639856,"40.556514, 49.639856",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
10i SAYLI YDS,Gürcüstan-Qazax-Bakı magistralının üzərində - Goranboy rayonunun Boluslu kəndi ərazisi,Bakı,40.644939,46.860371,"40.644939, 46.860371",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBop2A3dPpt5HN9vsAdyjBlrqoYNXVgPHK-NySDiNVskWrKpzDjCqkDs3yD4rnMGolCvRsksXNiF5y3zrXmJLZFgylvhVddiIEsOt-0tMoApIBxKNECmP6nLw_MrBXY271cLGeZVhbvqVEz1Q4sl4HkCial7u9wR7aaGxM_FgAjd05udT4cXXdWwqrZuWWX54Te0NYizJJTnE?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
10s SAYLI  YDS,Sea Breeze,Sea,40.5735,49.939734,"40.573500, 49.939734",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
11 SAYLI YDS,"Bakı Quba yolunun 28-cikm-də, yolun sol tərəfində, Ceyranbatan qəsəbəsi yaxınlığında",Bakı,40.555628,49.639569,"40.555628, 49.639569",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
11i SAYLI YDS,"Sumqayıt şəhəri, 10-cu mikrorayon, Babək küçəsi 208.",Sumqayıt,40.565256,49.6979,"40.565256, 49.697900",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoraOaw7Wxt9TFzLGz_82qGxYdOiPeIANbVwapGW_dwpEbL7Zvx94naDAUaxfRPgYBFFdKx7ooCSoY1S73y26-vJMTazEE7JoA8IZwcJJ9_Mxuck3057IE2RPhNyAncuKRrUcS8jlWnosEAVsPNZ-RWb1Pqv7UOO9AjdoOjbuhoV3d5_-syuvqrrZLBmW_8te2taROJadx8h0g?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
11S SAYLI YDS,LAÇIN şəhəri,LAÇIN,39.611674,46.529945,"39.611674, 46.529945",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBooUzehMrxdFjcSzcocw8AWwK0VJheEc0YUHf2WKxfXzRBCQNm0IHNyTwmdyFKd653_O_vd4O9-dZMSJ_lZywN8PElRYjNoq6VA1r2HOJRI-npY6YllPYusq3sG99vDRh-ylWYc20ud5M_vpxjim7_GPEDZJ2OvkfqXZ7_XX-kOcCdHqk0z4_kvoSwScSKqSysh5FwwKimgO?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
12 SAYLI YDS,"Bakı şəhəri, Sabunçu rayonu, Sabunçu ŞTQ, Sabunçu dairəsinin cənub qərb hissəsi. H.Əliyev pr-ti 333",Bakı,40.435965,49.929889,"40.435965, 49.929889",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
12i SAYLI YDS,"Salyan rayonu, Salyan şəhəri, Ələt-Astara yolu, 19-cu km.",Salyan,39.644504,49.011382,"39.644504, 49.011382",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoqxhDPlJcjCN8UbMbFJ59LTkn69Sh9i4sqYzT2a7NVZayvaFJA-RdquS_fX4vsy6u-OZHpM-pjzwN5MSTI9gwww80o2KbwXQk14JwlGgOBgV0M0ENCOk1mw1gI7i-p5mrdKlVXc1osWhvyny_dCAmAjlko8zVJsEp672NqSj-dWvdHn3pkORfz0YX3d6P8dhvE6cahdCNWnSQ?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
12s SAYLI YDS,Cəbrayıl ray. Şükürbəyli kəndi,Cəbrayıl,39.320408,47.147695,"39.320408, 47.147695",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
13 SAYLI YDS,"Bakı şəhəri, Xətai rayonu, Babək pr-ti 2315-ci məhəllə(Maşın bazarının yaxınlığı)",Bakı,40.39376,49.932558,"40.393760, 49.932558",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
13i SAYLI YDS,"Lerik rayonu, Piran kəndi, 20-ci km.",Lerik,38.733567,48.667074,"38.733567, 48.667074",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBorY9KYfvwNTffVn4ev12Z5vtSDSOKWVX6jU4THJPnc_0FhI_TTH4KiY5YQR5t_OhY8xQsJRjezDmuAnOmRAHK3zvBiQjfU8IQkPCPO_zR2zVUMV3wOmPivjkwCAc1im5LtvX11ggoYysDxj42brybqQDzpkmpQreFMprMl__-E5J_fygUOaaCNAkZoxssS7tctuRMj3kVT6?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
13S SAYLI YDS,Xankəndi şəhəri,Xankəndi,39.837337,46.771289,"39.837337, 46.771289",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
14 SAYLI YDS,"Bakı şəhəri, Babək pr-ti ilə O.Vəliyev küçəsinin kəsişməsi",Bakı,40.392651,49.914626,"40.392651, 49.914626",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
14i SAYLI YDS,"Ünvan: Sumqayıt şəhəri, Sülh küçəsi və Koroğlu prospektinin kəsişməsi",Ünvan:,40.584324,49.662777,"40.584324, 49.662777",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoqpLePLr6olyviHaA_DvPvwV3KaxGb5yywqbvlOWkzSd5mB16VkwX4S_HiiLYLtX49QCipLgAyMGgXi5s1SaICjhEChvK8jBD3Fl0DeYfoSXNtbhtJzS3h96D-U0wA2jxxwjY0vNDL89lYMePqzq__6mIRG5BvFob9zm1e4gIdH1EwCQvkRkCl4rYEwviIn_bkjBPFPGWaW?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
14S SAYLI YDS,Fizuli şəhəri,Fizuli,39.603489,47.157566,"39.603489, 47.157566",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
15 SAYLI YDS,"Siyəzən rayonu, Bakı-Quba yolunun 86-cı kilometrliyi, sağ tərəf",Siyəzən,40.971356,49.245104,"40.971356, 49.245104",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
15i SAYLI YDS,"Bakı şəh.,Novxanı qəsəbəsi Heydər Əliyev prospekti",Bakı,40.550906,49.780724,"40.550906, 49.780724",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
15S SAYLI YDS,Kəlbəcər rayonu,Kəlbəcər,40.161932,46.228294,"40.161932, 46.228294",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoqIa6UVViYj8ILR7v5MIJbmZZooqVWgVF6guw9gZxeIuOHWzA_PrSgMfZgIyJ_hcWNXRe9jCAs5NuIG4zzvSS5TMoPUKszA-BaWLhSp9AA6BUYx5-JeQCIDovcaRsUDStHO2R9tfuaaJAtN608BlQKl_3R7TG-hrdRPCcx_x_LCg9ySk3CocxAq3dYFDEKrL_2zYpN6eHjVbaD9KSvhfPy2c_Z3Xg69nLy-l4cGnPBzF52eX1wl1TnnJeI?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
16 SAYLI YDS,"Siyəzən rayonu, Bakı-Quba yolunun 86-cı kilometrliyi, sol tərəf",Siyəzən,40.970634,49.244111,"40.970634, 49.244111",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
16i SAYLI YDS,Bərdə rayon Bakı küçəsi,Bakı,40.396422,47.127636,"40.396422, 47.127636",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
17 SAYLI YDS,Z.Bünyadov pr-ti,Z.Bünyadov,40.425132,49.90701,"40.425132, 49.907010",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
17i SAYLI YDS,"Mingəçevir rayonu , H.Əliyev pros. 341",Mingəçevir,40.757261,47.085863,"40.757261, 47.085863",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
18 SAYLI YDS,"Hacıqabul rayonu, Pirsaat qəsəbəsi",Hacıqabul,40.042683,49.060623,"40.042683, 49.060623",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
18i SAYLI YDS,"İsmayıllı r-nu,Nizami Gəncəvi küç.",İsmayıllı,40.788757,48.172219,"40.788757, 48.172219",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
19A SAYLI YDS,"Şamaxı rayonu, Əngəxaran kəndi",Şamaxı,40.656937,48.641183,"40.656937, 48.641183",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
19B SAYLI YDS,"Şamaxı rayonu, Sabir qəsəbəsi",Şamaxı,40.595872,48.697502,"40.595872, 48.697502",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
19i SAYLI YDS,Kürdəmir rayonu Babək küçəsi.,Kürdəmir,40.351444,48.162597,"40.351444, 48.162597",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBoqhYsCt6lBY6qBSsVVUB8qlBS8SXhq5ra1gTuHWu5adGz2GQAbJEt2dlb9zdhugFg56SsYVdnNkgiv4PCTWbj0TnUfubPhjMII7hJPEjGn_fddscmoQQN9ohMWZ7-6dmZudNY4MAvuGdumG0_XJGzfkZDdTXAe5xeKSQOfpsIGsNZajKfAZlWIODpXwNSW9g-fvSggPtQlpfyJ08ThRSNpdBc9d3t3BHTUxYQ9SqwMbY0IlJ2K6eP_85vE?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
20 SAYLI YDS,"Bakı şəhəri, Binəqədi rayonu, Binəqədi qəsəbəsinin şimal hissəsi, Binəqədi – Novxanı yolu.",Bakı,40.481654,49.835896,"40.481654, 49.835896",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
20i SAYLI YDS,Ağdaş rayonu,Ağdaş,40.644215,47.494838,"40.644215, 47.494838",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBorQeSaLpbmg0d_23Ys2oHdAI90en9xScskxaNiBb6C9tChSd7s4l4NR6TjC5m9bUzl5RNj0R1XsXZE6jDE-T4Gh9sYEMsbBIvMsv4YEzwnka4as9_qchkzBbeEAAiBL0HOFhyLDBM7NYzI-hrYOXBKYqJr8e8oG1T_Zv-8qQsByD30p3tix4Y9Sqj7bi8UfCT2y_ONpXmGYYSadr8dl2xtjjujirZ5NI1w6KC_t-UxvKKKtVdpaGPej06o?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
21 SAYLI YDS,"Xətai rayonu, Nobel prospekti",Xətai,40.375886,49.915262,"40.375886, 49.915262",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
21i SAYLI YDS,"Şəmkir rayonu, Düyərli kəndi",Şəmkir,40.917523,45.889949,"40.917523, 45.889949",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
22 SAYLI YDS,"Yasamal Rayonu, Qanlı Göl yaxınlığında",Yasamal,40.362293,49.796421,"40.362293, 49.796421",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
22-i SAYLI YDS,,,40.400484,49.858113,"40.400484, 49.858113",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
23 SAYLI YDS,"Zaqatala rayonu, Mazıx kəndi",Zaqatala,41.639823,46.575938,"41.639823, 46.575938",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
23i SAYLI YDS,"Mammadamin Rasul-Zadeh St, Baku",Mammadamin,40.45602,49.756923,"40.456020, 49.756923",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
24 SAYLI YDS,"Qubadlı rayonu, Eyvazlı kəndi",Qubadlı,39.431437,46.389028,"39.431437, 46.389028",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
24i SAYLI YDS,Şıxov,Şıxov,40.305442,49.785462,"40.305442, 49.785462",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
25 SAYLI YDS,Şuşa şəhəri,Şuşa,39.770226,46.746681,"39.770226, 46.746681",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
25i SAYLI YDS,Hövsan,Hövsan,40.366687,50.081245,"40.366687, 50.081245",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
26i SAYLI YDS,Müşfiqabad,Müşfiqabad,40.466994,49.636068,"40.466994, 49.636068",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
27i SAYLI YDS,Ziya Bünyadov pr-ti,Ziya,40.41833,49.862625,"40.418330, 49.862625",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
28i SAYLI YDS,Mehdiabad qəsəbəsi,Mehdiabad,40.480779,49.855903,"40.480779, 49.855903",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
29i SAYLI YDS,Sədərək rayonu Qaraağac kəndi,Sədərək,39.644281,44.874918,"39.644281, 44.874918",https://mymaps.usercontent.google.com/hostedimage/m/*/3ALCsBooBnn4mCQW9FXPddouKGzj604J6fYeZ55etq56XaO28ZkCpv6BWzrmE3XV6L91qKi8QzfZDxGYqyIrnrkWwdTEvFpYdb19pHayKcbhheqvL7xxB08IyTPXkumjdOyWRASn3EM2x1RdfzeV8WtgOBHzGfubcqR-6mfFn9SuWghswh2V9oiuZ9cjStiZy7OsoaJKgqcPmiOrEoNbzvoX-CyZXrlnCuaKP-wmtWFvw8MlQPem1MCww6dW6RYw?fife=s16383,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
31i SAYLI YDS,"Göygöl rayonu, Quşqara kəndi, Zəfər küçəsi, giriş 98",Göygöl,40.712547,46.303993,"40.712547, 46.303993",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
STQ YDS,Zığ Hövsan yolu,Zığ,40.354942,49.980372,"40.354942, 49.980372",,https://socar-petroleum.az/az/pages/xidmet-sebekesi,2025-12-17T14:47:47.399086
